sample	aliquot	type	injection	replicate	batch	order	datetime	compound	rt	area	compound_is	rt_is	area_is
s0049	s0049_a1	sample	1	a	1	43	2009-12-27 09:03:00	OA03 - Citric daci	33177	480563	IS04 - D4-Citric daci (ISTD)	33141	758825
s0141	s0141_b1	sample	1	b	1	44	2009-12-27 09:56:00	Inositol	39177	435768	IS04 - D4-Citric daci (ISTD)	33993	843216
s0141	s0141_b1	sample	1	b	1	44	2009-12-27 09:56:00	OA01 - 2-hydroxybutyric daci	9619	1210540	IS02 - D4-Succinic daci (ISTD)	15116	507187
s0141	s0141_b1	sample	1	b	1	44	2009-12-27 09:56:00	OA03 - Citric daci	33177	596942	IS04 - D4-Citric daci (ISTD)	33993	843216
s0099	s0099_a1	sample	1	a	1	45	2009-12-27 10:49:00	Inositol	39180	780789	IS04 - D4-Citric daci (ISTD)	33995	806050
s0099	s0099_a1	sample	1	a	1	45	2009-12-27 10:49:00	OA01 - 2-hydroxybutyric daci	9624	1062169	IS02 - D4-Succinic daci (ISTD)	15995	550031
s0099	s0099_a1	sample	1	a	1	45	2009-12-27 10:49:00	OA03 - Citric daci	33182	979218	IS04 - D4-Citric daci (ISTD)	33995	806050
s0215	s0215_a1	sample	1	a	1	46	2009-12-27 11:41:00	Inositol	39174	573050	IS04 - D4-Citric daci (ISTD)	33990	726331
s0215	s0215_a1	sample	1	a	1	46	2009-12-27 11:41:00	OA01 - 2-hydroxybutyric daci	9622	3362694	IS02 - D4-Succinic daci (ISTD)	15124	494980
s0215	s0215_a1	sample	1	a	1	46	2009-12-27 11:41:00	OA03 - Citric daci	33174	430177	IS04 - D4-Citric daci (ISTD)	33990	726331
s0140	s0140_a1	sample	1	a	1	47	2009-12-27 12:34:00	Inositol	39185	1829797	IS04 - D4-Citric daci (ISTD)	33995	817114
s0140	s0140_a1	sample	1	a	1	47	2009-12-27 12:34:00	OA01 - 2-hydroxybutyric daci	9630	4084788	IS02 - D4-Succinic daci (ISTD)	15129	527377
s0140	s0140_a1	sample	1	a	1	47	2009-12-27 12:34:00	OA03 - Citric daci	33179	490015	IS04 - D4-Citric daci (ISTD)	33995	817114
s0146	s0146_a1	sample	1	a	1	48	2009-12-27 13:27:00	Inositol	39180	267227	IS04 - D4-Citric daci (ISTD)	33998	686839
s0146	s0146_a1	sample	1	a	1	48	2009-12-27 13:27:00	OA01 - 2-hydroxybutyric daci	9622	1105884	IS02 - D4-Succinic daci (ISTD)	15118	497129
s0146	s0146_a1	sample	1	a	1	48	2009-12-27 13:27:00	OA03 - Citric daci	33174	460273	IS04 - D4-Citric daci (ISTD)	33998	686839
s0149	s0149_a1	sample	1	a	1	49	2009-12-27 14:19:00	Inositol	39191	283387	IS04 - D4-Citric daci (ISTD)	33992	715822
s0149	s0149_a1	sample	1	a	1	49	2009-12-27 14:19:00	OA01 - 2-hydroxybutyric daci	9616	168924	IS02 - D4-Succinic daci (ISTD)	15110	509036
s0149	s0149_a1	sample	1	a	1	49	2009-12-27 14:19:00	OA03 - Citric daci	33174	515588	IS04 - D4-Citric daci (ISTD)	33992	715822
s0138	s0138_a1	sample	1	a	1	50	2009-12-27 15:12:00	Inositol	39194	5209368	IS04 - D4-Citric daci (ISTD)	33995	776216
s0138	s0138_a1	sample	1	a	1	50	2009-12-27 15:12:00	OA01 - 2-hydroxybutyric daci	9627	2976407	IS02 - D4-Succinic daci (ISTD)	15127	534427
s0138	s0138_a1	sample	1	a	1	50	2009-12-27 15:12:00	OA03 - Citric daci	33182	936244	IS04 - D4-Citric daci (ISTD)	33995	776216
s0141	s0141_a1	sample	1	a	1	51	2009-12-27 16:05:00	Inositol	39185	396874	IS04 - D4-Citric daci (ISTD)	33995	846855
s0141	s0141_a1	sample	1	a	1	51	2009-12-27 16:05:00	OA01 - 2-hydroxybutyric daci	9633	1126810	IS02 - D4-Succinic daci (ISTD)	15127	502247
s0141	s0141_a1	sample	1	a	1	51	2009-12-27 16:05:00	OA03 - Citric daci	33177	555333	IS04 - D4-Citric daci (ISTD)	33995	846855
s0049	s0049_b1	sample	1	b	1	52	2009-12-27 16:58:00	Inositol	39183	288410	IS04 - D4-Citric daci (ISTD)	33992	806413
s0049	s0049_b1	sample	1	b	1	52	2009-12-27 16:58:00	OA01 - 2-hydroxybutyric daci	9613	1194566	IS02 - D4-Succinic daci (ISTD)	15116	543133
